Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
25,1,33,86,18,58,74,23,55,98,52,88
89,15,28,85,97,25,4,69,50,80,28,76
27,7,20,86,48,28,63,12,98,72,31,65
68,44,65,21,73,8,29,50,21,87,42,50
57,19,84,37,24,82,95,2,13,1,7,98
99,29,85,42,41,1,91,4,87,34,68,40
92,96,45,78,64,64,2,44,43,74,50,7
74,21,24,39,48,57,12,54,53,23,79,5
23,31,94,36,52,56,66,18,49,77,26,51
97,91,93,82,99,59,0,21,33,50,79,1
83,57,61,81,29,33,47,7,58,30,15,92
48,27,80,39,22,28,93,91,81,95,69,32
90,7,3,59,84,92,84,94,90,69,100,92
43,5,37,32,68,90,92,7,72,49,95,8
63,67,85,19,82,73,20,33,60,13,85,4
21,81,85,29,38,38,83,87,60,67,11,0
16,86,15,14,23,92,30,5,27,46,62,48
39,70,65,70,36,62,46,42,91,5,0,68
15,80,73,49,60,15,87,87,49,87,63,70
67,3,37,60,50,36,8,70,70,96,25,25
65,93,22,78,43,21,18,49,12,86,40,12
69,2,83,59,46,92,37,2,47,90,94,62
11,26,27,73,98,59,12,57,100,52,55,29
43,98,91,49,69,95,16,10,32,29,82,35
99,17,97,78,19,83,69,70,29,65,61,28
93,3,68,55,65,95,36,93,14,31,60,32
29,9,12,59,53,68,10,41,67,42,96,87
74,66,94,25,19,43,68,60,49,66,57,71
49,71,12,60,41,85,16,98,0,21,80,71
99,28,38,15,44,73,54,30,33,10,16,80
99,90,90,15,85,68,79,30,68,46,11,56
